8,3;0:00.020;a cpu;7,7;0:00.020;d cpu;76,9;0:00.110;g cpu;50;0:00.080;j cpu
100;0:00.150;b time;7,7;0:00.030;e time;76,9;0:00.210;h time;40;0:00.140;k time
61,5;0:00.230;LEFT;7,7;0:00.040;LEFT;100;0:00.340;LEFT;42,9;0:00.200;LEFT
108,3;0:00.360;PARDUS;46,2;0:00.100;PARDUS;92,3;0:00.460;UBUNTU;13,3;0:00.220;UBUNTU
84,6;0:00.470;GPOS;50;0:00.170;RTOS;100;0:00.590;GPOS;57,1;0:00.300;RTOS
91,7;0:00.580;;53,8;0:00.240;;100;0:00.720;;78,6;0:00.410;
100;0:00.700;;21,4;0:00.270;;92,3;0:00.840;;100;0:00.550;
91,7;0:00.810;;80;0:00.390;;108,3;0:00.970;;93,8;0:00.700;
100;0:00.930;;85,7;0:00.510;;76,9;0:01.070;;93,3;0:00.840;
108,3;0:01.060;;12,5;0:00.530;;69,2;0:01.160;;100;0:00.980;
83,3;0:01.160;;15,4;0:00.550;;78,6;0:01.270;;106,7;0:01.140;
91,7;0:01.270;;57,1;0:00.630;;84,6;0:01.380;;60;0:01.230;
30,8;0:01.310;;80;0:00.750;;14,3;0:01.400;;86,7;0:01.360;
46,2;0:01.370;;100;0:00.890;;7,7;0:01.410;;35,7;0:01.410;
100;0:01.490;;100;0:01.030;;6,7;0:01.420;;18,8;0:01.440;
92,3;0:01.610;;106,7;0:01.190;;7,1;0:01.430;;71,4;0:01.540;
108,3;0:01.740;;86,7;0:01.320;;7,1;0:01.440;;69,2;0:01.630;
100;0:01.860;;66,7;0:01.420;;7,7;0:01.450;;20;0:01.660;
53,8;0:01.930;;66,7;0:01.520;;7,7;0:01.460;;7,1;0:01.670;
16,7;0:01.950;;21,4;0:01.550;;7,1;0:01.470;;7,1;0:01.680;
16,7;0:01.970;;46,2;0:01.610;;15,4;0:01.490;;7,1;0:01.690;
8,3;0:01.980;;86,7;0:01.740;;7,1;0:01.500;;6,7;0:01.700;
7,7;0:01.990;;87,5;0:01.880;;7,7;0:01.510;;7,1;0:01.710;
7,7;0:02.000;;92,3;0:02.000;;7,7;0:01.520;;12,5;0:01.730;
8,3;0:02.010;;100;0:02.130;;7,1;0:01.530;;6,2;0:01.740;
8,3;0:02.020;;76,9;0:02.230;;7,1;0:01.540;;6,7;0:01.750;
7,7;0:02.030;;50;0:02.300;;7,7;0:01.550;;6,7;0:01.760;
8,3;0:02.040;;23,1;0:02.330;;15,4;0:01.570;;7,1;0:01.770;
15,4;0:02.060;;7,7;0:02.340;;7,7;0:01.580;;7,1;0:01.780;
7,7;0:02.070;;7,7;0:02.350;;7,1;0:01.590;;6,7;0:01.790;
7,1;0:02.080;;7,1;0:02.360;;7,7;0:01.600;;7,1;0:01.800;
8,3;0:02.090;;7,7;0:02.370;;7,7;0:01.610;;7,1;0:01.810;
15,4;0:02.110;;7,1;0:02.380;;7,1;0:01.620;;7,1;0:01.820;
8,3;0:02.120;;7,1;0:02.390;;7,7;0:01.630;;7,1;0:01.830;
7,7;0:02.130;;7,1;0:02.400;;7,7;0:01.640;;7,1;0:01.840;
16,7;0:02.150;;7,7;0:02.410;;14,3;0:01.660;;7,1;0:01.850;
8,3;0:02.160;;7,1;0:02.420;;7,1;0:01.670;;4,8;0:01.860;
16,7;0:02.180;;7,7;0:02.430;;7,7;0:01.680;;6,2;0:01.870;
8,3;0:02.190;;7,7;0:02.440;;7,1;0:01.690;;6,7;0:01.880;
8,3;0:02.200;;7,7;0:02.450;;7,7;0:01.700;;7,1;0:01.890;
8,3;0:02.210;;7,7;0:02.460;;7,1;0:01.710;;6,7;0:01.900;
7,7;0:02.220;;7,1;0:02.470;;7,1;0:01.720;;6,7;0:01.910;
7,7;0:02.230;;15,4;0:02.490;;7,7;0:01.730;;6,2;0:01.920;
8,3;0:02.240;;7,7;0:02.500;;7,7;0:01.740;;6,7;0:01.930;
8,3;0:02.250;;7,7;0:02.510;;7,1;0:01.750;;6,7;0:01.940;
8,3;0:02.260;;14,3;0:02.530;;8,3;0:01.760;;7,1;0:01.950;
8,3;0:02.270;;7,1;0:02.540;;7,7;0:01.770;;6,2;0:01.960;
7,7;0:02.280;;7,7;0:02.550;;14,3;0:01.790;;7,1;0:01.970;
16,7;0:02.300;;15,4;0:02.570;;6,2;0:01.800;;6,2;0:01.980;
7,7;0:02.310;;14,3;0:02.590;;7,7;0:01.810;;7,1;0:01.990;
8,3;0:02.320;;7,7;0:02.600;;7,7;0:01.820;;6,7;0:02.000;
8,3;0:02.330;;7,1;0:02.610;;7,1;0:01.830;;6,7;0:02.010;
7,7;0:02.340;;7,7;0:02.620;;7,1;0:01.840;;7,1;0:02.020;
8,3;0:02.350;;7,1;0:02.630;;7,1;0:01.850;;7,7;0:02.030;
15,4;0:02.370;;7,7;0:02.640;;7,7;0:01.860;;7,1;0:02.040;
7,7;0:02.380;;7,1;0:02.650;;7,7;0:01.870;;7,1;0:02.050;
8,3;0:02.390;;7,7;0:02.660;;7,7;0:01.880;;7,1;0:02.060;
7,7;0:02.400;;20;0:02.690;;7,1;0:01.890;;7,1;0:02.070;
15,4;0:02.420;;7,1;0:02.700;;8,3;0:01.900;;7,1;0:02.080;
7,7;0:02.430;;7,7;0:02.710;;7,7;0:01.910;;7,1;0:02.090;
7,7;0:02.440;;7,1;0:02.720;;7,7;0:01.920;;7,1;0:02.100;
7,7;0:02.450;;7,7;0:02.730;;7,7;0:01.930;;7,1;0:02.110;
16,7;0:02.470;;7,1;0:02.740;;7,1;0:01.940;;7,1;0:02.120;
8,3;0:02.480;;7,1;0:02.750;;7,7;0:01.950;;6,7;0:02.130;
8,3;0:02.490;;7,7;0:02.760;;7,1;0:01.960;;7,1;0:02.140;
8,3;0:02.500;;7,1;0:02.770;;15,4;0:01.980;;7,1;0:02.150;
7,7;0:02.510;;7,7;0:02.780;;7,7;0:01.990;;7,1;0:02.160;
7,1;0:02.520;;7,7;0:02.790;;7,1;0:02.000;;7,1;0:02.170;
8,3;0:02.530;;7,7;0:02.800;;7,7;0:02.010;;6,7;0:02.180;
7,7;0:02.540;;7,7;0:02.810;;7,7;0:02.020;;6,7;0:02.190;
8,3;0:02.550;;7,7;0:02.820;;7,1;0:02.030;;7,1;0:02.200;
8,3;0:02.560;;7,7;0:02.830;;7,7;0:02.040;;6,7;0:02.210;
8,3;0:02.570;;7,7;0:02.840;;7,7;0:02.050;;7,1;0:02.220;
8,3;0:02.580;;7,1;0:02.850;;7,7;0:02.060;;14,3;0:02.240;
7,7;0:02.590;;7,7;0:02.860;;7,7;0:02.070;;7,1;0:02.250;
8,3;0:02.600;;7,1;0:02.870;;7,1;0:02.080;;7,7;0:02.260;
8,3;0:02.610;;7,7;0:02.880;;7,7;0:02.090;;7,1;0:02.270;
8,3;0:02.620;;7,1;0:02.890;;7,1;0:02.100;;7,1;0:02.280;
8,3;0:02.630;;7,1;0:02.900;;7,1;0:02.110;;7,1;0:02.290;
15,4;0:02.650;;7,7;0:02.910;;7,7;0:02.120;;14,3;0:02.310;
7,7;0:02.660;;7,1;0:02.920;;7,1;0:02.130;;7,1;0:02.320;
8,3;0:02.670;;7,7;0:02.930;;7,1;0:02.140;;6,7;0:02.330;
8,3;0:02.680;;7,7;0:02.940;;7,7;0:02.150;;7,1;0:02.340;
8,3;0:02.690;;6,7;0:02.950;;7,7;0:02.160;;7,1;0:02.350;
8,3;0:02.700;;7,7;0:02.960;;7,7;0:02.170;;7,1;0:02.360;
8,3;0:02.710;;7,7;0:02.970;;7,7;0:02.180;;6,7;0:02.370;
8,3;0:02.720;;7,1;0:02.980;;7,7;0:02.190;;7,1;0:02.380;
8,3;0:02.730;;7,7;0:02.990;;7,7;0:02.200;;7,1;0:02.390;
8,3;0:02.740;;7,7;0:03.000;;7,7;0:02.210;;7,1;0:02.400;
7,7;0:02.750;;7,1;0:03.010;;15,4;0:02.230;;7,1;0:02.410;
7,7;0:02.760;;7,7;0:03.020;;7,7;0:02.240;;7,1;0:02.420;
8,3;0:02.770;;6,7;0:03.030;;7,1;0:02.250;;6,2;0:02.430;
7,7;0:02.780;;7,1;0:03.040;;7,1;0:02.260;;7,1;0:02.440;
7,7;0:02.790;;7,7;0:03.050;;7,7;0:02.270;;6,7;0:02.450;
8,3;0:02.800;;7,1;0:03.060;;7,7;0:02.280;;6,2;0:02.460;
8,3;0:02.810;;7,7;0:03.070;;7,7;0:02.290;;7,1;0:02.470;
8,3;0:02.820;;7,1;0:03.080;;7,7;0:02.300;;6,7;0:02.480;
7,7;0:02.830;;7,1;0:03.090;;7,7;0:02.310;;6,7;0:02.490;
8,3;0:02.840;;15,4;0:03.110;;7,7;0:02.320;;6,2;0:02.500;
8,3;0:02.850;;7,1;0:03.120;;7,1;0:02.330;;7,1;0:02.510;
8,3;0:02.860;;7,1;0:03.130;;7,7;0:02.340;;6,7;0:02.520;
8,3;0:02.870;;7,1;0:03.140;;7,1;0:02.350;;7,1;0:02.530;
7,7;0:02.880;;7,7;0:03.150;;7,7;0:02.360;;7,7;0:02.540;
8,3;0:02.890;;7,7;0:03.160;;7,7;0:02.370;;7,1;0:02.550;
7,7;0:02.900;;7,7;0:03.170;;7,7;0:02.380;;6,7;0:02.560;
8,3;0:02.910;;7,7;0:03.180;;7,7;0:02.390;;7,7;0:02.570;
8,3;0:02.920;;7,1;0:03.190;;7,7;0:02.400;;6,7;0:02.580;
7,7;0:02.930;;7,7;0:03.200;;7,7;0:02.410;;7,1;0:02.590;
8,3;0:02.940;;7,1;0:03.210;;7,1;0:02.420;;7,1;0:02.600;
7,7;0:02.950;;7,1;0:03.220;;7,1;0:02.430;;5,6;0:02.610;
7,7;0:02.960;;7,1;0:03.230;;7,7;0:02.440;;6,7;0:02.620;
8,3;0:02.970;;7,1;0:03.240;;7,7;0:02.450;;7,1;0:02.630;
8,3;0:02.980;;7,7;0:03.250;;7,7;0:02.460;;7,1;0:02.640;
8,3;0:02.990;;7,7;0:03.260;;7,7;0:02.470;;6,7;0:02.650;
15,4;0:03.010;;7,7;0:03.270;;7,7;0:02.480;;6,7;0:02.660;
8,3;0:03.020;;7,1;0:03.280;;7,7;0:02.490;;7,1;0:02.670;
8,3;0:03.030;;7,7;0:03.290;;7,7;0:02.500;;7,1;0:02.680;
7,7;0:03.040;;7,7;0:03.300;;7,7;0:02.510;;7,1;0:02.690;
8,3;0:03.050;;7,7;0:03.310;;7,7;0:02.520;;7,1;0:02.700;
8,3;0:03.060;;7,7;0:03.320;;7,7;0:02.530;;7,1;0:02.710;
8,3;0:03.070;;7,7;0:03.330;;7,1;0:02.540;;7,1;0:02.720;
8,3;0:03.080;;7,1;0:03.340;;14,3;0:02.560;;7,1;0:02.730;
7,7;0:03.090;;7,1;0:03.350;;7,7;0:02.570;;7,1;0:02.740;
8,3;0:03.100;;7,7;0:03.360;;7,7;0:02.580;;7,1;0:02.750;
7,7;0:03.110;;7,7;0:03.370;;7,7;0:02.590;;7,1;0:02.760;
8,3;0:03.120;;7,7;0:03.380;;7,7;0:02.600;;7,1;0:02.770;
8,3;0:03.130;;7,1;0:03.390;;7,7;0:02.610;;6,7;0:02.780;
7,7;0:03.140;;7,1;0:03.400;;7,1;0:02.620;;7,1;0:02.790;
7,7;0:03.150;;7,1;0:03.410;;7,7;0:02.630;;6,7;0:02.800;
7,7;0:03.160;;7,7;0:03.420;;7,7;0:02.640;;6,7;0:02.810;
7,7;0:03.170;;7,7;0:03.430;;7,1;0:02.650;;7,1;0:02.820;
7,7;0:03.180;;7,7;0:03.440;;7,7;0:02.660;;7,1;0:02.830;
7,7;0:03.190;;7,1;0:03.450;;7,7;0:02.670;;7,1;0:02.840;
8,3;0:03.200;;7,1;0:03.460;;7,7;0:02.680;;7,1;0:02.850;
7,7;0:03.210;;7,7;0:03.470;;7,1;0:02.690;;6,7;0:02.860;
8,3;0:03.220;;7,7;0:03.480;;7,1;0:02.700;;7,1;0:02.870;
8,3;0:03.230;;7,1;0:03.490;;7,7;0:02.710;;7,1;0:02.880;
