61,5;0:00.090;a cpu;61,5;0:00.090;d cpu;43,8;0:00.080;g cpu;28,6;0:00.050;j cpu
100;0:00.210;b time;100;0:00.210;e time;92,3;0:00.200;h time;78,6;0:00.160;k time
100;0:00.340;LEFT;100;0:00.340;LEFT;92,3;0:00.320;LEFT;100;0:00.320;LEFT
91,7;0:00.450;PARDUS;91,7;0:00.450;PARDUS;92,9;0:00.450;UBUNTU;64,7;0:00.430;UBUNTU
100;0:00.580;GPOS;100;0:00.580;RTOS;100;0:00.590;GPOS;92,9;0:00.560;RTOS
100;0:00.700;;100;0:00.700;;100;0:00.720;;100;0:00.700;
100;0:00.830;;100;0:00.830;;92,9;0:00.850;;107,1;0:00.850;
100;0:00.950;;100;0:00.950;;92,9;0:00.980;;93,3;0:00.990;
84,6;0:01.060;;84,6;0:01.060;;107,7;0:01.120;;92,9;0:01.120;
91,7;0:01.170;;91,7;0:01.170;;76,9;0:01.220;;78,6;0:01.230;
75;0:01.260;;75;0:01.260;;53,8;0:01.290;;71,4;0:01.330;
53,8;0:01.330;;53,8;0:01.330;;85,7;0:01.410;;57,1;0:01.410;
100;0:01.450;;100;0:01.450;;84,6;0:01.520;;100;0:01.550;
108,3;0:01.580;;108,3;0:01.580;;14,3;0:01.540;;50;0:01.630;
100;0:01.700;;100;0:01.700;;7,1;0:01.550;;7,1;0:01.640;
100;0:01.830;;100;0:01.830;;7,1;0:01.560;;7,1;0:01.650;
76,9;0:01.930;;76,9;0:01.930;;7,1;0:01.570;;6,7;0:01.660;
25;0:01.960;;25;0:01.960;;7,7;0:01.580;;7,1;0:01.670;
6,7;0:01.970;;6,7;0:01.970;;7,7;0:01.590;;7,1;0:01.680;
7,7;0:01.980;;7,7;0:01.980;;7,7;0:01.600;;7,1;0:01.690;
8,3;0:01.990;;8,3;0:01.990;;7,1;0:01.610;;7,1;0:01.700;
7,7;0:02.000;;7,7;0:02.000;;7,1;0:01.620;;6,7;0:01.710;
7,7;0:02.010;;7,7;0:02.010;;7,1;0:01.630;;6,7;0:01.720;
8,3;0:02.020;;8,3;0:02.020;;7,7;0:01.640;;6,7;0:01.730;
7,7;0:02.030;;7,7;0:02.030;;7,1;0:01.650;;7,1;0:01.740;
16,7;0:02.050;;16,7;0:02.050;;7,7;0:01.660;;7,1;0:01.750;
7,7;0:02.060;;7,7;0:02.060;;7,7;0:01.670;;14,3;0:01.770;
8,3;0:02.070;;8,3;0:02.070;;15,4;0:01.690;;6,7;0:01.780;
8,3;0:02.080;;8,3;0:02.080;;7,1;0:01.700;;7,1;0:01.790;
7,7;0:02.090;;7,7;0:02.090;;7,7;0:01.710;;7,1;0:01.800;
