8,3;0:00.020;a cpu;21,4;0:00.040;d cpu;15,4;0:00.030;g cpu;76,9;0:00.110;j cpu
100;0:00.140;b time;100;0:00.180;e time;92,3;0:00.150;h time;80;0:00.230;k time
75;0:00.230;LEFT;71,4;0:00.280;LEFT;100;0:00.280;LEFT;100;0:00.360;LEFT
100;0:00.350;PARDUS;92,9;0:00.410;PARDUS;92,3;0:00.400;UBUNTU;93,3;0:00.500;UBUNTU
69,2;0:00.440;GPOS;71,4;0:00.510;RTOS;92,9;0:00.530;GPOS;107,7;0:00.640;RTOS
92,3;0:00.560;;100;0:00.640;;92,9;0:00.810;;100;0:00.720;
100;0:00.680;;92,3;0:00.760;;92,9;0:01.080;;93,3;0:00.780;
92,3;0:00.800;;100;0:00.890;;76,9;0:01.180;;100;0:00.810;
100;0:00.920;;100;0:01.020;;61,5;0:01.260;;92,9;0:00.910;
100;0:01.040;;107,7;0:01.160;;64,3;0:01.480;;100;0:01.050;
83,3;0:01.140;;80;0:01.280;;15,4;0:01.500;;71,4;0:01.150;
66,7;0:01.220;;35,7;0:01.330;;7,1;0:01.510;;64,3;0:01.240;
23,1;0:01.250;;84,6;0:01.440;;7,7;0:01.520;;75;0:01.360;
66,7;0:01.330;;100;0:01.580;;7,7;0:01.530;;84,6;0:01.470;
100;0:01.450;;92,9;0:01.710;;7,7;0:01.540;;20;0:01.500;
100;0:01.570;;100;0:01.850;;7,7;0:01.550;;7,1;0:01.510;
100;0:01.690;;78,6;0:01.960;;7,1;0:01.560;;7,1;0:01.520;
100;0:01.810;;46,2;0:02.020;;15,4;0:01.580;;7,7;0:01.530;
33,3;0:01.850;;15,4;0:02.040;;14,3;0:01.600;;7,1;0:01.540;
15,4;0:01.870;;7,1;0:02.050;;14,3;0:01.620;;7,1;0:01.550;
7,7;0:01.880;;7,7;0:02.060;;7,1;0:01.630;;6,7;0:01.560;
8,3;0:01.890;;7,7;0:02.070;;7,7;0:01.640;;7,1;0:01.570;
7,7;0:01.900;;7,7;0:02.080;;7,1;0:01.650;;6,7;0:01.580;
8,3;0:01.910;;7,1;0:02.090;;7,1;0:01.660;;7,1;0:01.590;
7,7;0:01.920;;7,7;0:02.100;;14,3;0:01.680;;7,1;0:01.600;
7,7;0:01.930;;7,1;0:02.110;;7,7;0:01.690;;7,1;0:01.610;
7,7;0:01.940;;7,1;0:02.120;;7,7;0:01.700;;7,1;0:01.620;
15,4;0:01.960;;7,1;0:02.130;;7,1;0:01.710;;7,1;0:01.630;
8,3;0:01.970;;7,7;0:02.140;;7,7;0:01.720;;7,1;0:01.640;
8,3;0:01.980;;7,1;0:02.150;;7,7;0:01.730;;12,5;0:01.660;
7,7;0:01.990;;7,7;0:02.160;;15,4;0:01.750;;5,6;0:01.670;
8,3;0:02.000;;7,7;0:02.170;;7,1;0:01.760;;6,7;0:01.680;
8,3;0:02.010;;7,1;0:02.180;;7,7;0:01.770;;6,7;0:01.690;
7,7;0:02.020;;7,1;0:02.190;;7,7;0:01.780;;7,1;0:01.700;
16,7;0:02.040;;7,7;0:02.200;;7,7;0:01.790;;7,1;0:01.710;
8,3;0:02.050;;7,7;0:02.210;;7,1;0:01.800;;6,7;0:01.720;
8,3;0:02.060;;7,1;0:02.220;;7,1;0:01.810;;6,7;0:01.730;
8,3;0:02.070;;7,1;0:02.230;;7,7;0:01.820;;14,3;0:01.750;
7,7;0:02.080;;7,7;0:02.240;;7,7;0:01.830;;6,7;0:01.760;
7,7;0:02.090;;7,7;0:02.250;;15,4;0:01.850;;7,1;0:01.770;
7,7;0:02.100;;7,1;0:02.260;;7,1;0:01.860;;7,1;0:01.780;
7,7;0:02.110;;13,3;0:02.280;;7,7;0:01.870;;6,2;0:01.790;
8,3;0:02.120;;7,7;0:02.290;;7,7;0:01.880;;5,6;0:01.800;
8,3;0:02.130;;7,7;0:02.300;;7,7;0:01.890;;6,2;0:01.810;
8,3;0:02.140;;7,1;0:02.310;;7,7;0:01.900;;6,7;0:01.820;
8,3;0:02.150;;7,1;0:02.320;;7,1;0:01.910;;7,1;0:01.830;
7,7;0:02.160;;7,1;0:02.330;;7,7;0:01.920;;7,1;0:01.840;
14,3;0:02.180;;7,7;0:02.340;;7,1;0:01.930;;13,3;0:01.860;
8,3;0:02.190;;7,7;0:02.350;;6,7;0:01.940;;6,7;0:01.870;
7,7;0:02.200;;7,1;0:02.360;;7,7;0:01.950;;5,9;0:01.880;
8,3;0:02.210;;7,7;0:02.370;;7,1;0:01.960;;6,7;0:01.890;
8,3;0:02.220;;7,1;0:02.380;;7,7;0:01.970;;6,7;0:01.900;
